"id","abstract_text"
"8693991","Methamphetamine (MA) is remarkably addictive and relapse to excessive use is highly probable and poses serious health concerns. Genetic factors have been little studied with regard to their role in susceptibility to MA addiction or relapse. A key goal will be to utilize a validated animal model of genetically-determined high and low susceptibility to MA use to improve genetic mapping resolution and to study an already identified neuroimmune gene network that influences MA response in this genetic model. In Aim 1, in coordination with Animal Core 3, replicated sets of selected mouse lines bred for high and low voluntary consumption of MA will be produced and QTL mapping will be performed by the Biostatistics and Genetics Core 2. These mice will be used for studies proposed in Components 7, 8 and 9. In Aim 2, neurocircuitry will be examined in the selected lines, using cFos mapping after acute and repeated MA treatment, and these data will be used to identify brain regions for immune factor analysis, and will be compared to imaging results from Scientific Component 7 for brains from the MA consumption selected lines. In Aim 3, qPCR immunology arrays will be used to examine brain and peripheral blood mononuclear cell gene expression for immune specific genes using samples from selectively bred MA drinking line mice that have been acutely or repeatedly treated with MA or with saline, or are in ""remission"". These data will be used in additional network analysis by the Biostatistics and Genetics Core 2 and compared to human peripheral gene expression results for controls, chronic MA users and user in remission. In Aim 4, cognitive, anxiety-like, and impulsivity-like traits will be examined in drug naive, acute, and repeated MA-exposed MADR mice, as well as mice in remission from MA exposure. Tissue from mice treated in the same way will be transferred to Translational Service Core 5 for analysis of immune factors and to Component 7 for imaging;half of each brain will be sent for each purpose to allow individual animal correlations to be performed. These data will also be examined for correspondence between behavior, neurocircuitry and immune system alterations. In addition, impulsivity-like measures in mice will be compared to similar measures in humans from Component 7. Finally, data collected in Component 9 will inform Component 8, with regard to traits and which of the selected lines to be studied for immunotherapeutic intervention. Cross-species analyses across components will identify key immune factors associated with chronic MA exposure (and remission) and MA-induced neuropsychiatric impairments, with the goal of ultimately identifying novel immunotherapeutic interventions."
"8693362"," Project Summary Risk bimarkers have become increasingly important in clinical decision making, guiding patients and their clinicians in choosing the most appropriate course of therapy or surveillance after treatment. Constructing accurate and individualized prediction rules and conducting rigorous validation are critical to the cancer biomarker field. Prospective cohort studies are crucial for such evaluation as time to event carries more information about a marker's value on early detection and prognosis than a simple measure of disease status. But prospective biomarker evaluation is challenging. Until now there has been little guidance pro- vided for statistical design and analysis of these studies. We propose to extend our previously funded effort to address several new challenges in prospective marker evaluation. The proposal will emphasize three unique aspects in prospective biomarker evaluation. First, for many cancers disease outcome may be heterogeneous due to the biological nature of the disease or selection of treatments. Constructing and validating prognostic and treatment selection rules based on more specific prediction of the risk of develop- ing aggressive cancer as opposed to indolent cancer is of great clinical interest yet analytically challenging. In Aim 1 we will provide statistical tools for developing and validating risk markers in a population with an unknown mixture of indolent and aggressive cancers. We propose statistical methods that facilitate the development and evaluation of prognostic markers for risk stratification. Methods for deriving and evalu- ating individualized treatment rules in the presence of a mixture of indolent and aggressive cancers will be considered. Second, among patients diagnosed with cancer who chose to be on active surveillance, developing monitoring tools to make adaptive monitoring or intervention recommendations with longitudinal biomarkers may alleviate overtreatment without missing signs of progression. In Aim 2 we will consider flexible procedures to quantify the updated predictive accuracy of longitudinal markers. In addition, we will develop and evaluate decision rules on the basis of risk, incorporating both cross-sectional and longi- tudinal marker information. The ascertainment of marker information in a large cohort requires enormous resources. Cost-effective cohort sampling is therefore highly desirable. In Aim 3 we will develop procedures to improve the efficiency of estimating risk and accuracy parameters and rigorously evaluate and compare different choices of matching/stratification rules and identify optimal pairs of analyses and sampling strate- gies. We will also develop estimation procedures for evaluating longitudinal markers in two-phase studies. Applications in cancer biomarker development provide a context for our research. Data from the Early De- tection Research Network and from several large cohort studies will be analyzed. Programs and algorithms developed in this proposal will be made available to public."
"8607498","    DESCRIPTION (provided by applicant): Despite enormous efforts, no effective vaccine is currently available against HIV/AIDS. This is largely due to the virus's ability to evade neutralizing antibodies. The trimeric HIV envelope glycoprotein gp160 (HIV Env), which is exposed to the host immune response on the surface of the virion, effectively conceals epitopes from antibodies while maintaining its ability to promote viral entry. The few exposed antibody-binding sites are structurally unstable and sustain substantial sequence variability. Consequently, few broadly neutralizing antibodies have been identified. Here we will develop single molecule Fluorescence Resonance Energy Transfer (smFRET) imaging to monitor the conformational landscape of individual native Env molecules on the surface of an HIV virus. We will apply new enzymatic methods to introduce organic fluorophores into HIV Env at positions that don't interfere with infectivity. The placement of two dyes within one Env molecule will allow the application of smFRET to report conformational changes of the unliganded HIV Env from various angles. Following the characterization of the unliganded HIV Env, we will determine how its conformation dynamics change in response to receptor and antibody binding. Our approach will identify critical conformational states of HIV Env that should be targeted for vaccine development, reveal the molecular mechanism underlying immune evasion, and understand the potency of existing neutralizing antibodies.        "
"8697008","    DESCRIPTION (provided by applicant): This four-year K01 award application is to provide intensive multi-disciplinary training and career development guidance for Dr. Yu-Hsiang Hsieh, PhD, an Assistant Professor in Emergency Medicine at the Johns Hopkins University, leading to his becoming an independent investigator. Under the guidance of world renowned, NIH-funded, experienced mentors, Drs. Richard Rothman, Joshua Epstein, and David Holtgrave, Dr. Hsieh will gain a set of complementary inter-disciplinary skills which will allow him to pursue research with a focus on devising and evaluating public health interventions for infectious diseases seen in acute care settings. The applicant will receive mentoring in: public health aspects of emergency medicine;infectious disease computational mathematical modeling;and cost-effectiveness analysis. The rationale for the work, evaluation of HIV screening strategies, comes from the fact that HIV incidence has remained unchanged in the U.S. over the past decade, with one in five infected remaining unaware of their serostatus. One of the cornerstones recently advanced by the CDC for controlling the epidemic is widespread screening in emergency department (ED) settings. While, increasing numbers of EDs across the U.S. have developed strategies to adapt HIV testing into routine practice, there have been no efforts to systematically address how effective ED-based HIV testing has been (relative to no ED-based testing), or, which of several testing strategies is optimal with regard to identifying the largest number of unrecognized cases, and decreasing community HIV transmission. A relatively new and innovative method of computational modeling, agent-based modeling (ABM), offers a potential means for handling the complexity of temporal dynamics of HIV epidemiology and human behaviors associated with availability of ED-based HIV testing services, and represents a promising approach for overcoming many of the shortcoming of conventional study designs. The goal of this research project is to: 1) derive a computational model for measuring the impact of ED HIV testing programs on the HIV epidemic in Baltimore, Maryland, using ABM methods;2) validate the derived ABM model;and 3) assess relative cost- effectiveness of ED HIV testing programs based on findings from the validated ABM model. The results of this study will provide new insights regarding current approaches to ED-based HIV testing programs and provide important cost-effectiveness data to inform local and national HIV testing strategies. The K01 award will provide Dr. Hsieh an intensive and directed mentored research experience in two new disciplines for him - infectious disease computational mathematical modeling, particularly ABM, and cost-effectiveness analysis. He will also receive needed training in the responsible conduct of research as well as longitudinal career guidance from an experience team. Together these experiences will equip him with the essential training and mentorship necessary to become an outstanding interdisciplinary independent public health investigator, who will build a research program focused on the study of infectious diseases in emergent, and acute care venues.         PROJECT NARRATIVE: Emergency department-based HIV testing programs in the United States have identified thousands of previously undiagnosed HIV-infected individuals since 2006, when the Centers of Disease Control and Prevention began to aggressively promote testing in this non-traditional health care venue. The applicant will pursue a period of intensive multi-disciplinary training in infectious disease mathematical modeling - particularly agent based modeling, and cost-effectiveness analysis, applying these methods to study public health screening in acute care settings. The rich research environment of Johns Hopkins University coupled with the nationally recognized team of expert mentors will lead to independent investigator status, and a career dedicated to research in the development and evaluation of public health intervention strategies which address a wide array of infectious diseases'threats seen in emergency and other acute episodic care settings.                "
"8725943","Antigen presenting cells (APCs) are critical for the induction of graft-versus-host / leukemia responses  after allogeneic bone marrow transplantation (BMT). Therefore agents that target dendritic cells (DCs),  the most potent APCs, might have therapeutic potential in graft-versus-host disease (GVHD). Histone  deacetylase inhibitors (HDACi) are novel anti-tumor agents that appear to be well tolerated in human  clinical trials. However their immuno-modulatory effects have heretofore been largely unrecognized.  Preliminary data generated and published by us demonstrate that HDACi regulate experimental acute  GVHD, in part, through induction of the immuno-regulatory enzyme indoleamine 2, 3 dioxygenase (IDO)  in host DCs. These exciting pre-clinical data formed the rationale for the development of a proof in  principle clinical trial that will test the effects of HDACi, vorinostat, in prevention of acute GVHD.  Preliminary data also demonstrate that acetylation of non-histone protein, STAT-3, in DCs is critical for  the induction of IDO by the HDACi. The specificity of the approach and the precise molecular  mechanisms are not known. This proposal flows from our exciting published and unpublished  observations generated from murine models and primary healthy human cells. We will test the central  hypothesis that acetylation of non-histone protein, STAT-3, by HDACi is critical for suppression of DCs  and the negative regulation of experimental GVHD. The Specific Aims are:  1. To determine the specific HDAC enzyme critical for acetylation of STAT-3 and regulation of DC  function by the HDACi  2. To elucidate the critical role of STAT-3 in regulation of DCs and GVHD by HDACi  3. To analyze the cellular markers of HDAC inhibition after vorinostat (an HDACi) administration  following reduced intensity conditioning (RIC) allogeneic BMT"
"8574224","    DESCRIPTION (provided by applicant): Major Depressive Disorder (MDD) is one of the most prevalent mental disorders, and is associated with significant mortality, morbidity, and economic costs. The Stony Brook Temperament Study is an ongoing longitudinal study that seeks to identify early behavioral precursors/risk factors for depression and understand the neurobiological and psychosocial processes through which these early manifestations develop into MDD. This information about risk pathways and processes should contribute to understanding when and how to intervene in order to prevent the disorder and limit its progression. The study initially assessed a large community sample of 3-year old children, followed them up at age 6, and is currently evaluating them in middle childhood (age 9). This competing renewal application seeks to extend the study into adolescence, the beginning of the peak risk period for onset of MDD. Specifically, the application proposes to map pathways from laboratory observations of low positive emotionality and high negative emotionality at age 3 to neural indices of emotional and social information processing, hypothalamic-pituitary-adrenal axis dysregulation, and emerging depressive and anxiety symptoms in early- (age 12) and mid- (age 15) adolescence. In addition, it seeks to understand the role of pubertal development and life stress in influencing these trajectories, and to capture the early portion of the expected sure in first-onset MDD that begins at puberty and continues through early adulthood.        "
"8716060","The goal ofthe Developmental Research Project Program ofthe Maine INBRE (ME-INBRE) is to support the  research and career development of exceptional INBRE-affiliated faculty who are engaged in biomedical  research and research training focused on the unifying theme of comparative functional genomics. Faculty  will be selected on a competitive basis, via review by the ME-INBRE External Advisory Committee (EAC),  from applicants who respond to Funding Opportunity Announcements (FOA) distributed within the MEINBRE  network. This program has two specific aims. The first is to provide research funding and  mentorship for ME-INBRE Investigators. Selected Investigators will be expected to devote 50% effort to their  proposed research project, actively engage mentors and implement individualized development plans,  mentor students and/or postdoctoral fellows, submit quarterly progress reports, publish in peer-reviewed  journals, present at national and/or international meetings, and participate in INBRE-sponsored workshops.  Investigators at research institutions will also be expected to apply for independent ROI-level research  funding by the end of the second year of funding. Investigator appointments will be renewed annually for up  to 5 years contingent on review of progress by the ME-INBRE Principal Investigator (PI), Program  Coordinator (PC), and EAC. The second aim of the program is to provide more opportunities for faculty-led  research and training on site at primarily undergraduate (partner) institutions. This will be accomplished by  granting Research Training Faculty awards to selected faculty who have demonstrated an ability to  effectively engage students in cutting-edge research related to the theme of this INBRE. Research Training  Faculty will devote 15-25% effort to their project, actively engage mentors and implement individualized  development plans, engage students in research, submit quarterly progress reports, present at regional  and/or national meetings, submit the results for publication in peer-reviewed journals, and participate in  INBRE-sponsored workshops. Research Training Faculty will build biomedical research capacity by  providing additional high-level opportunities for student research and training. For both aims, emphasis will  be placed on mentorship (both of faculty and their students and trainees) and evaluation. Successful  implementation of the two aims of the Developmental Research Projects Program will be facilitated by  regular internal formative evaluations and measured by a final summative evaluation carried out by the PI,  PC, EAC, Evaluation Coordinator, an independent evaluation consultant, and an AAAS review panel."
"8692071","    DESCRIPTION (provided by applicant): This project will develop a new approach to treat an aggressive and deadly form of metastatic breast cancer known as meningeal metastases, or metastases to the lining covering the brain. We propose to investigate an effective, long lasting, and targeted therapy with oncolytic replication conditional herpes simplex virus 1 (HSV-1) that will potentially have a large impact on the treatment of meningeal metastases by reducing toxicity, promoting effective treatment outcome, and most significantly -prolonging life expectancy.  Meningeal metastasis is a deadly complication of breast cancer affecting approximately 5% of patients. At present, there is no effective therapy for meningeal metastases, and the median survival of the treated patients is about 3 months. Published data suggest that the incidence of this disease increases, probably due to the longer survival of patients with systemic cancer. The need for new therapeutic interventions is urgent.  The replication conditional herpes simplex type-1 (HSV-1) has been genetically engineered to replicate preferentially in cancer cells utilizing their enhanced mitotic activity. As such replicaion in cancer cells will kill these cells while leaving the normal tissue unharmed. This novel treatment will be investigated in a mouse model of meningeal metastases that has been fully characterized with molecular imaging with MRI over successive time points. The potential therapeutic effect of HSV-1 oncolysis on meningeal metastases will be investigated with molecular imaging and in vitro tissue analyses sequentially over time. Virus replication in the meningeal metastases will be determined by molecular imaging with positron emission tomography (PET) using FHBG as the substrate for the thymidine kinase enzyme specific for the virus. The therapeutic effect of oncolytic HSV-1 on meningeal metastases will be determined by molecular imaging with Gd enhanced MRI. If a therapeutic effect is achieved, the impact on therapy and patient survival will be huge and will be of direct clinical significance.        "
"8644130","   DESCRIPTION (provided by applicant): Molecular mechanisms underlying blood development and disorders are of great interest and importance from the perspective of understanding normal function and leukemias. Drosophila has long served as a genetic model for many developmental processes, but its usefulness as a hematopoietic model has only recently been appreciated. The mechanisms that maintain blood stem cells in Drosophila show remarkable conservation in strategy of development and function with mammalian systems. The proposed work intends to determine the molecular pathways that maintain stem cell homeostasis. Also proposed is the role of systemic signals and nutrient deprivation on myeloid cell development. These are developmentally and medically relevant problems for which model systems amenable to genetic screens are essential to develop. The proposal has four specific aims. In Aim 1, a homeostatic model by which blood precursors are maintained not only by a signal from a niche, but also from the cells that have started differentiating will be developed. In Aim 2, the involvement of the transcription factor STAT in the maintenance of stem cell fate in Drosophila will be investigated. In Aim 3, the role of extracellular matrix components that control the integrity of stem cells will be studied. In the final aim, signals arising from the brain that control blood stem cell maintenance in Drosophila will be investigated and their role in starvation induced stem cell loss studied.        "
"8702828","    DESCRIPTION (provided by applicant): The objective of this grant application is to develop a clinical tool for real-time assessment of irradiated brain tissue during neurosurgical resection or stereotaxic biopsy in patients with brain tumor recurrence. Primary and many metastatic brain tumors recur after radiation therapy (RT). However, identifying cancer recurrence is complicated by the development of radiation necrosis. It is important to rapidly distinguish radiation-injury from recurrent cancer during interventional neurosurgical procedures. Radiation necrosis and cancer are managed very differently. To address this problem, we propose development of a label-free, non-ionizing tissue assessment technique, i.e. Multispectral Scanning -Time Resolved Fluorescence Spectroscopy (MS-TRFS), which facilitates rapid in vivo evaluation of the biochemical and functional characteristics of brain tissue. The proposed technique can multispectrally evaluate the fluorescent decay of multiple cellular metabolites (NAD(P)H and other fluorescent constituents such as proteins and lipids) and is well suited to assess the biochemical features associated with radiation necrosis, malignant, and normal tissue. In this R21 application, we will test the ability of MS-TRFS to detect brain alterations associated with radiation necrosis. Two specific aims will be addressed. The first aim is designed to (i) provide a systematic evaluation of time-resolved fluorescence features associated with tissue radiation necrosis and (ii) support the identification of biochemical components contributing to unique autofluorescence signatures that can act as diagnostic markers of radiation necrosis. The second aim is focused on a proof-of-concept study in human patients designed to demonstrate whether a clinically compatible MS-TRFS device can be used for rapid diagnosis of radiation necrosis in the brain. If MS-TRFS proves useful in reliably distinguishing radiation necrosis from other brain tissue types in these pre-clinical and clinical studies, we anticipate further development of a specialized clinical MS-TRFS-based tool to aid in brain tumor surgical resection in the presence of radiation necrosis or during brain tissue stereotaxic biopsy. This has the potential to improve the clinical management of radiation necrosis and overall patient outcome. In addition, the small fiber optic probe size required enables further development of MS-TRFS as a pre-clinical research tool that can play a role in the optimization of RT. We envision that a MS-TRFS probe introduced in a rodent model into a tumor region by neurointerventional technology could also be used to monitor RT dosimetry and local tissue response.        "
